plateforme;identifiant;url_actuelle;titre_vimeo;duree;etat;deja_dans_sanity;nb_usages;ou_elle_est_utilisee;URL_LIVID;fait
vimeo;731655836;https://vimeo.com/731655836;;;privée ou supprimée;oui;7;ch:/nos-competences/aftermovie-captation-evenementielle/ | ch:/nos-competences/video-mapping/ | en:/our-skills/aftermovie-event-capture/ | en:/our-skills/video-mapping/ | fr:/nos-competences/aftermovie-captation-evenementielle/ | fr:/nos-competences/video-mapping/ | fr:/realisations/printemps-nouvelle-identite-reportage-video-evenement/;;
vimeo;276232570;https://vimeo.com/276232570;CEMOI - grands crus cacao VR;1:38;public;oui;7;ch:/actualites/video-immersive-360/ | ch:/nos-competences/creation-immersive-realite-virtuelle/ | en:/actualites/360-immersive-video/ | en:/our-skills/immersive-creation-virtual-reality/ | fr:/actualites/video-immersive-360/ | fr:/nos-competences/creation-immersive-realite-virtuelle/ | fr:/realisations/cemoi-video-3d-360-vr/;;
vimeo;391522027;https://vimeo.com/391522027;bluevista | Showreel 2020;1:20;public;oui;7;ch:/actualites/bluevista-video-showreel-2020/ | ch:/actualites/film-dentreprise-video-15-ans-dexperience/ | en:/actualites/bluevista-video-showreel-2020/ | en:/actualites/corporate-film-video-15-years-of-experience/ | fr:/actualites/bluevista-video-showreel-2020/ | fr:/actualites/film-dentreprise-video-15-ans-dexperience/ | fr:/realisations/bluevista-showreel-video-2020/;;
vimeo;273315122;https://vimeo.com/273315122;ABB - SNK Industrie version UK;1:39;public;oui;12;ch:/realisation-film-evenementiel/ | ch:/realisation-film-immobilier-real-estate/ | ch:/realisation-film-industrie/ | en:/3d-animation-studio-in-paris/ | en:/film-production-events/ | en:/film-production-industry/ | en:/film-production-real-estate/ | fr:/realisation-film-evenementiel/;;
vimeo;249080529;https://vimeo.com/249080529;VideoMapping 40 ans SIPAREX;5:04;public;oui;13;ch:/actualites/motion-design-3d-et-mapping-a-paris-au-musee-rodin/ | ch:/nos-competences/video-mapping/ | ch:/realisation-de-film-evenements/ | ch:/realisation-film-construction-immobiliere/ | en:/actualites/3d-motion-design-and-mapping-in-paris-at-the-rodin-museum/ | en:/film-production-real-estate-construction/ | en:/geneva-event-video-production/ | en:/our-skills/video-mapping/;;
vimeo;276260170;https://vimeo.com/276260170;;;public;oui;13;ch:/nos-competences/studio-fond-vert-compositing/ | ch:/realisation-film-evenementiel/ | ch:/realisation-film-immobilier-real-estate/ | ch:/realisation-film-industrie/ | en:/film-production-events/ | en:/film-production-industry/ | en:/film-production-real-estate/ | en:/our-skills/green-screen-studio-compositing/;;
vimeo;125736086;https://vimeo.com/125736086;Clip Corporate BOS Equipement 2015;1:45;public;oui;13;ch:/actualites/clip-corporate-bos-equipement/ | ch:/actualites/film-dentreprise-video-15-ans-dexperience/ | en:/actualites/clip-corporate-bos-equipement/ | en:/actualites/corporate-film-video-15-years-of-experience/ | en:/advertising-video/ | en:/corporate-film-lyon-15-years-of-experience/ | en:/corporate-films-in-lyon-since-2004/ | en:/promotional-video/;;
vimeo;276258421;https://vimeo.com/276258421;;;public;oui;22;ch:/nos-competences/animation-3d/ | ch:/nos-competences/studio-fond-vert-compositing/ | ch:/realisation-film-automotive/ | ch:/realisation-film-evenementiel/ | ch:/realisation-film-immobilier-real-estate/ | ch:/realisation-film-industrie/ | ch:/studio-danimation-3d-a-geneve/ | en:/3d-animation-studio-in-lyon/;;
vimeo;808253368;https://vimeo.com/808253368;bluevista | Showreel 2023;1:58;public;oui;23;ch:/actualites/bluevista-video-showreel-2023/ | ch:/realisation-film-lancement-produit/ | ch:/realisation-video-geneve/ | ch:/video-promotionnelle/ | ch:/video-publicitaire/ | en:/advertising-video/ | en:/corporate-film-in-lyon/ | en:/corporate-film-lyon-15-years-of-experience/;;
vimeo;851628155;https://vimeo.com/851628155;;;privée ou supprimée;non;1;ch:/nos-competences/video-aerienne-drone/;;
vimeo;908648472;https://vimeo.com/908648472;Verizon Connect - PubTV 2023;1:22;public;non;2;ch:/video-publicitaire/ | fr:/video-publicitaire/;;
vimeo;368287987;https://vimeo.com/368287987;;;public;non;2;en:/corporate-film-in-lyon/ | fr:/realisation-film-entreprise-lyon/;;
vimeo;405034733;https://vimeo.com/405034733;ICSI - BARPI - Film Accident - Sans Pastille;16:43;public;non;2;en:/actualites/barpi-industrial-accident-prevention/ | fr:/actualites/barpi-prevention-accidents/;;
