ancienne_url;nouvelle_url;code;motif;clics_12m
/actualites/3d-motion-design-and-mapping-in-paris-at-the-rodin-museum/;/realisations/motion-design-sodexo/;301;réalisation (score 2);0
/actualites/bluevista-creative-video-a-real-team-3-productivity/;/realisations/bluevista-creative-unicorn-team/;301;réalisation (score 2);0
/actualites/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;/realisations/getlive-tv-3-0-la-wbe-tv-selon-bluevista/;301;réalisation (score 2);0
/nos-realisations/bluevista-creative-a-real-team-1-flexibility/;/realisations/bluevista-creative-unicorn-team/;301;réalisation (score 2);0
/nos-realisations/elistair-orion/;/realisations/elistair-orion-video-produit-animation-3d/;301;réalisation (score 2);0
/nos-realisations/film-corporate-gf-core/;/realisations/film-corporate-gfms-core/;301;réalisation (score 2);0
/actualites/koesio-greeting-card-2023/;/realisations/koesio-carte-de-v-ux-video-2023/;301;réalisation (score 2);0
/nos-realisations/e-xpert-solutions-at-defense/;/realisations/e-xpert-solutions-video-voeux-2022/;301;réalisation (score 2);0
/nos-realisations/koesio-greetings-2024/;/realisations/koesio-convention-2024/;301;réalisation (score 2);0
/nos-realisations/cpro-pas-besoin-den-rajouter/;/realisations/c-pro-pas-besoin-d-en-rajouter-video-publicitaire/;301;réalisation (score 2);0
